Altano Energy - headquartered in Madrid, Madrid, Spain, founded 2021-05-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Seedli Capital - headquartered in Flushing, New York, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Sifflet - headquartered in Paris, Ile-de-France, France, founded 2021-06-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Silverflow - headquartered in Amsterdam, Noord-Holland, The Netherlands, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Slate Medicines - headquartered in Raleigh, North Carolina, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Sparta - headquartered in Geneva, Geneve, Switzerland, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Starbridge - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Steady Energy - headquartered in Helsinki, Southern Finland, Finland, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Subbyx - headquartered in Milan, Lombardia, Italy, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
TRIVER - headquartered in London, England, United Kingdom, founded 2022-06-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
The Icon League - headquartered in Cologne, Nordrhein-Westfalen, Germany, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Tytan Technologies - headquartered in Munich, Bayern, Germany, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Upway - headquartered in Gennevilliers, Ile-de-France, France, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Variance - headquartered in San Francisco, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Ventaris Surgical - headquartered in San Carlos, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Via Sana - headquartered in Paris, Ile-de-France, France, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Vivici - headquartered in Delft, Zuid-Holland, The Netherlands, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Warp - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
